RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,26.77,0.41,0:27.19,8,262354,86,85
90,27.44,2.06,0:29.53,61001,839105,422141,392704
80,27.54,2.51,0:30.13,101477,999179,557942,526471
70,27.92,3.13,0:31.17,142016,1333731,753127,747306
60,28.10,3.47,0:31.69,160326,1447098,820638,813611
50,28.04,3.92,0:32.08,191524,1602862,914704,909453
40,28.41,4.44,0:32.98,248793,1760296,1024153,1018282
30,28.41,5.16,0:33.71,325285,1976905,1173568,1166838
20,28.64,7.18,0:35.96,492791,2542349,1547201,1538317
10,28.74,9.60,0:38.51,698892,3027753,1899713,1888816
5,29.53,11.23,0:40.95,892910,3481049,2229706,2216902
