RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.96,0.09,0:01.60,0,100476,-28304841,0
90,4.15,0.52,0:01.88,108,147082,-28304841,44277
80,4.21,0.50,0:01.95,487,162897,-28355507,53913
70,4.07,0.52,0:01.95,193,165333,-28421388,62399
60,4.19,0.51,0:01.97,145,168384,-28492057,68707
50,4.48,0.53,0:02.07,4613,206832,-28562852,78015
40,5.54,3.14,0:03.32,12201,1089607,-28655651,315191
30,4.81,6.10,0:04.36,2659,1369478,-29202515,737363
20,5.15,5.72,0:04.38,1512,1390491,-29901359,769408
10,4.34,11.03,0:06.55,190965,1493054,-30615536,928849
5,5.68,3.94,0:04.50,10942,1405862,-31369387,788414
