RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.47,0.12,0:03.59,0,100590,0,0
90,3.54,0.22,0:03.79,896,113736,44462,42473
80,3.52,0.30,0:03.85,4253,121014,60333,55449
70,3.52,0.32,0:03.86,4685,121276,74535,66610
60,3.48,0.43,0:03.95,7480,125600,79219,76514
50,3.50,0.71,0:04.24,28408,152212,105100,103364
40,3.78,1.61,0:05.47,18516,556915,518754,547310
30,3.83,2.05,0:06.02,5108,744518,708422,763021
20,3.84,1.89,0:05.87,34,749705,709359,776549
10,3.96,1.88,0:05.95,2885,751389,713872,779635
5,3.95,3.17,0:07.21,66953,807373,822230,1225018
