RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2
100,0,104802,80041.33,2327.268,,,,,,,6267.162,,,
100,1,1141,1363.600,1.502,,,,,,,,,,
100,2,379,655.571,0.638,,,,,,,,,,
100,3,3793,4262.161,73.551,,,,,,,,,,
100,4,1564,1907.307,1.450,,,,,,,,,,
90,0,126419,147944.6,2625267,5082,43187.29,39206.18,1,14129.08,0.000,14955.05,19049,692.673,10.711
90,1,1145,1564.123,3.238,19,141.443,3.854,,,,,19,0.883,0.000
90,2,394,644.811,2.699,,,,,,,,,,
90,3,2894,3228.222,15.091,,,,,,,,,,
90,4,2771,3246.994,9.665,,,,,,,,,,
80,0,160802,199099.7,331924.1,4051,34836.64,320.131,2,30406.42,556838.5,42103.28,53427,1810.438,25.219
80,1,1532,1990.867,2.635,7,51.253,2.349,,,,,8,0.406,0.000
80,2,423,665.471,2.715,,,,,,,,,,
80,3,2334,2897.927,9.933,,,,,,,,,,
80,4,1054,1352.981,1.949,,,,,,,,,,
70,0,177269,229835.3,311893.6,4656,40844.17,11497.75,3,54027.42,11214473,52859.07,69783,2458.903,143.639
70,1,1828,2472.696,1.912,,,,,,,,,,
70,2,552,923.027,4.762,,,,,,,,,,
70,3,1973,2730.088,2.987,,,,,,,,,,
70,4,1318,1724.473,1.521,,,,,,,,,,
60,0,181694,236115.6,564381.0,3847,34839.87,1213.574,3,57362.28,15175690,58132.67,73657,3659.435,9479.446
60,1,1842,2645.361,27.108,,,,,,,,,,
60,2,406,861.520,6.311,29,195.527,0.409,,,,,29,1.092,0.000
60,3,1784,2464.416,1.999,,,,,,,,,,
60,4,1731,2132.207,1.147,,,,,,,,,,
50,0,211791,351040.8,396729.8,15661,123941.4,25331.54,4,57176.28,14247864,59644.16,88842,7474.796,14956.76
50,1,769,978.423,3.442,,,,,,,,,,
50,2,164,447.345,20.619,,,,,,,,,,
50,3,2237,2855.388,11.232,,,,,,,,,,
50,4,1873,2419.582,2.774,,,,,,,,,,
40,0,480275,998449.8,2797403,63105,531471.4,254449.5,3,51681.72,12400339,125837.3,231662,18854.84,115704.4
40,1,2627,3354.186,14.363,32,227.438,6.238,,,,,32,1.232,0.000
40,2,523,887.589,3.145,,,,,,,,,,
40,3,2135,2619.252,49.025,,,,,,,,,,
40,4,4231,4781.266,169.086,,,,,,,,,,
30,0,1289308,1521426,390341.3,19888,209462.8,139391.3,4,60327.72,4041333,451891.0,668514,33595.29,243715.7
30,1,1227,1625.287,2.747,,,,,,,,,,
30,2,343,748.632,4.141,,,,,,,,,,
30,3,2530,3574.298,62.402,,,,,,,,,,
30,4,1188,1534.067,1.658,,,,,,,,,,
20,0,1328479,1681335,4433595,32742,304826.5,36787.96,3,58142.26,20371942,481789.3,695515,33222.50,190357.0
20,1,2981,3966.242,67.985,,,,,,,,,,
20,2,1027,1539.437,2.933,,,,,,,,,,
20,3,4311,6251.753,25.240,,,,,,,,,,
20,4,2355,3115.043,12.335,,,,,,,,,,
10,0,2663639,3206666,3657409,37677,296407.1,23475.14,6,60120.19,3520353,1048908,1515130,101720.7,10261037
10,1,7925,8191.206,152.150,,,,,,,,,,
10,2,1830,2607.250,2.338,,,,,,,,,,
10,3,5815,8832.298,18.500,,,,,,,,,,
10,4,3464,4425.938,8.303,,,,,,,,,,
5,0,2665800,3206523,2583532,36696,267875.0,17961.30,24,59524.50,437705.0,1076629,1514942,89054.19,1405828
5,1,3716,5061.594,35.391,8,61.382,3.224,,,,,8,0.322,0.000
5,2,1576,2224.886,2.616,,,,,,,,,,
5,3,6551,9737.774,21.700,,,,,,,,,,
5,4,4404,5677.260,22.568,,,,,,,,,,
