RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.87,0.12,0:04.00,0,104760,0,0
90,3.88,0.21,0:04.09,5082,121412,26484,16939
80,3.81,0.31,0:04.13,4051,156826,62912,54801
70,3.76,0.32,0:04.09,4656,172557,74466,72550
60,3.69,0.36,0:04.06,3847,177792,75259,78343
50,3.81,0.43,0:04.26,15661,195919,91359,91620
40,3.91,1.26,0:05.19,63105,417245,228819,219793
30,4.30,1.98,0:06.29,19888,1269385,650554,672919
20,4.30,2.20,0:06.52,32742,1295812,682577,742454
10,4.54,4.09,0:08.67,37677,2626037,1281417,1545181
5,4.64,3.99,0:08.67,36696,2629048,1282835,1613554
