RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.88,0.12,0:04.00,0,104760,0,0
90,3.91,0.50,0:04.42,21479,119908,39208,24983
80,3.76,1.05,0:04.82,47714,125336,74153,53857
70,3.74,1.19,0:04.94,60443,120194,74564,67836
60,3.64,1.46,0:05.11,74600,125311,84999,82155
50,3.69,1.68,0:05.38,80881,200242,128553,95154
40,3.97,2.96,0:07.03,126248,647523,382272,254802
30,4.24,5.21,0:09.77,220216,1086190,665805,721671
20,4.28,5.42,0:10.05,229860,1109973,688671,753364
10,4.35,10.74,0:15.97,450495,2162655,1264869,1317473
5,4.64,10.71,0:16.49,456102,2208860,1282659,1630606
