RATIO,NUM_FAULTS,NUM_MAJOR_FAULTS
100,679252,115
90,691060,2092
80,692765,2230
70,703014,5887
60,723387,22528
50,852565,53069
40,993601,79677
30,1191723,154449
20,1285927,156662
