RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,4.62,2.48,0:07.11,0,1445978,0,0
90,4.60,2.81,0:07.42,3228,1448639,199484,4642
80,4.71,2.90,0:07.61,3229,1455846,275462,5147
70,4.52,4.27,0:08.83,58989,1599225,558104,142562
60,5.01,5.83,0:10.87,119863,1958308,1032015,431494
50,5.20,9.00,0:14.21,277220,2318434,1544557,1205480
40,5.73,21.42,0:27.24,401905,4673508,4420476,4272671
30,6.16,24.73,0:30.96,357403,4873598,4757631,6676590
20,6.17,27.28,0:33.52,295602,4903982,4945419,8179585
