RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2,3PO_PF_HIT,3PO_PF_TIME,3PO_PF_S2
100,0,104686,76503.54,3041.979,,,,,,,,,,,104686,3124.456,68.420
100,1,867,1197.820,2.051,,,,,,,,,,,867,32.317,0.000
100,2,789,1035.366,1.052,,,,,,,,,,,789,29.429,0.000
100,3,706,952.532,2.202,,,,,,,,,,,706,24.509,0.000
100,4,724,890.670,3.358,,,,,,,,,,,724,40.515,0.300
90,0,145469,258436.7,36670.66,22476,150546.2,768.397,1,7056.888,0.000,,38159,1922.485,3127.950,145469,4368.896,34.411
90,1,2000,2667.099,1.977,,,,,,,,,,,2000,70.492,0.000
90,2,1368,1935.951,3.267,3,25.748,5.100,,,,,33,7.242,1.070,1368,46.075,0.000
90,3,1490,1967.221,2.115,,,,,,,,,,,1490,51.446,0.000
90,4,1360,1852.686,1.905,,,,,,,,,,,1360,51.118,0.000
80,0,174427,472175.8,93876.99,51073,342533.7,4253.426,3,25724.99,2290378,,67211,2689.337,80.936,174427,5668.117,67.602
80,1,639,858.457,2.145,6,53.933,26.575,,,,,25,0.852,0.000,639,22.674,0.000
80,2,225,307.261,2.316,3,26.074,20.006,,,,,12,0.457,0.000,225,7.864,0.000
80,3,1814,2427.862,1.354,,,,,,,,,,,1814,62.615,0.000
80,4,1718,2280.364,1.198,,,,,,,,,,,1718,74.250,0.136
70,0,180435,567586.1,542252.4,64331,431349.6,8536.371,5,34890.89,2285015,,72818,2811.554,101.765,180435,5725.919,341.355
70,1,1050,1401.577,2.400,,,,,,,,,,,1050,69.155,0.464
70,2,729,1139.701,5.383,6,41.263,2.224,,,,,16,0.496,0.000,729,26.450,0.000
70,3,724,954.662,2.137,,,,,,,,,,,724,43.015,0.371
70,4,1867,2683.069,2.006,,,,,,,,,,,1867,79.421,0.125
60,0,219562,644102.6,1037315,72362,482470.0,30433.29,6,26691.93,2090485,,92726,3593.798,152.509,219562,6940.272,390.180
60,1,1519,2050.565,2.740,,,,,,,,,,,1519,84.618,0.316
60,2,1015,2015.674,8.187,1,24.801,0.000,,,,,10,0.439,0.000,1015,45.355,0.016
60,3,795,1183.190,2.889,,,,,,,,,,,795,30.691,0.000
60,4,1676,2186.236,5.193,,,,,,,,,,,1676,79.531,0.164
50,0,324252,744063.6,444802.7,75994,512743.7,10948.77,3,14816.07,3131965,,146160,11984.57,5151.623,324252,10221.79,270.806
50,1,3171,4103.220,46.352,3,23.830,5.086,,,,,7,0.236,0.000,3171,180.519,1.341
50,2,2730,3701.844,12.603,6,41.950,2.268,,,,,32,7.842,1.396,2730,102.589,0.004
50,3,2248,3090.916,11.129,,,,,,,,,,,2248,87.584,0.002
50,4,1575,1988.451,1.557,,,,,,,,,,,1575,68.791,0.134
40,0,844913,1506835,3252887,130941,907006.7,23669.16,5,26737.82,215709.0,,436943,76410.63,115778.6,844913,26438.96,2873.157
40,1,710,828.703,2.224,,,,,,,,,,,710,26.082,0.000
40,2,374,498.882,2.463,3,21.138,1.579,,,,,8,0.344,0.000,374,12.276,0.000
40,3,2950,4425.665,172.515,,,,,,,,,,,2950,105.450,0.015
40,4,1873,2405.127,1.310,,,,,,,,,,,1873,66.668,0.000
30,0,1311534,2567379,5652968,221908,1555033,311286.4,6,22766.59,256166.2,,731269,168782.3,3652164,1311534,43043.92,27231.13
30,1,1819,2708.421,27.210,3,25.090,3.073,,,,,8,0.280,0.000,1819,81.714,0.116
30,2,1146,1830.022,4.126,1,11.456,0.000,,,,,21,4.618,0.648,1146,73.586,0.385
30,3,1269,1703.433,3.091,,,,,,,,,,,1269,50.688,0.000
30,4,4370,5358.457,61.726,,,,,,,,,,,4370,221.767,1.691
20,0,1345605,2655115,28156863,229363,1608789,146122.3,4,21728.12,258332.4,,753912,177022.8,181239.7,1345605,43004.56,33716.60
20,1,3016,4429.436,42.396,,,,,,,,,,,3016,138.744,3.004
20,2,2628,4823.926,16.337,2,14.587,3.476,,,,,10,0.420,0.000,2628,142.358,0.638
20,3,2781,3673.628,3.751,7,51.599,1.390,,,,,28,0.982,0.000,2781,100.236,0.000
20,4,2628,3763.705,7.406,,,,,,,,,,,2628,113.874,0.246
10,0,2640033,5327778,8458970,447768,3146876,604539.5,5,27595.76,68286.64,,1624080,513610.3,11938414,2640033,86545.09,50378.69
10,1,282,365.763,0.552,,,,,,,,,,,282,10.909,0.000
10,2,3340,7238.257,35.892,3,27.126,6.073,,,,,10,0.488,0.000,3340,144.384,0.058
10,3,5241,7113.853,34.002,,,,,,,,,,,5241,185.958,0.002
10,4,4320,5688.230,23.956,,,,,,,,,,,4320,168.992,0.762
5,0,2665465,5642665,898010.9,458856,3233103,3437697,6,25489.82,83089.80,,1669852,666471.1,1559023,2665465,87348.64,145809.0
5,1,2145,2906.381,40.235,2,17.587,3.097,,,,,7,0.223,0.000,2145,79.165,0.004
5,2,1089,2138.353,7.736,17,135.921,14.791,,,,,36,7.519,0.776,1089,82.502,0.639
5,3,523,673.260,1.010,,,,,,,,,,,523,20.162,0.000
5,4,9733,11168.20,2702.597,,,,,,,,,,,9733,502.573,70.874
