RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.61,1.46,0:04.09,21158,529833,261943,115381
90,2.76,3.37,0:09.25,8,764571,1713225,1400034
80,2.83,3.60,0:09.71,8,766531,1993823,1407447
70,2.78,4.58,0:10.52,12,765101,2263424,1411378
60,2.95,6.00,0:14.83,308,959504,3425561,2526600
50,3.00,7.14,0:16.74,415,1005873,4213751,2794351
40,2.99,7.71,0:17.38,16,1006188,4490627,2806199
30,2.94,8.17,0:17.85,20,1008224,4779915,2817316
20,2.96,8.97,0:18.63,20,1007461,5040249,2803517
10,2.98,9.09,0:19.01,20,1005577,5198144,2693433
5,3.28,7.77,0:18.66,20,1002339,5009118,2366531
