RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.86,0.13,0:03.99,0,104761,0,0
90,3.88,0.27,0:04.16,14303,112183,26381,16717
80,3.81,0.70,0:04.52,51233,116265,77826,56760
70,3.69,0.84,0:04.54,67070,113700,76266,73840
60,3.67,0.90,0:04.57,75649,118522,81974,83014
50,3.69,1.10,0:04.81,88748,157036,109660,105599
40,3.96,2.17,0:06.32,126822,561368,343885,320227
30,4.23,3.81,0:08.51,222145,1071836,656173,711709
20,4.28,4.01,0:08.79,230610,1109486,687353,760238
10,4.51,8.14,0:14.07,461816,2148197,1267795,1502100
5,4.49,8.26,0:14.12,452976,2212549,1282952,1630458
