RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2,3PO_PF_HIT,3PO_PF_TIME,3PO_PF_S2
100,0,786562,2712155,2016465,218375,2086449,7067194,,,,47848.46,262154,8979.254,4109.642,786562,114146.2,35718.72
100,1,1742,2455.540,2.976,,,,,,,,,,,1742,63.498,0.000
100,2,456,807.255,2.896,,,,,,,,,,,456,29.042,0.001
100,3,2627,3747.656,6.607,,,,,,,,,,,2627,110.791,0.043
100,4,1481,1931.855,2.127,,,,,,,,,,,1481,53.258,0.000
90,0,786494,1254864,7176851,7,138.036,133.156,,,,209140.7,311249,356218.2,1176726,786494,282109.7,3198067
90,1,1118,1596.351,2.528,,,,,,,,,,,1118,43.666,0.000
90,2,302,591.948,2.411,,,,,,,,,,,302,20.904,0.001
90,3,888,1491.747,4.863,16,114.270,3.350,,,,,16,0.503,0.000,888,37.428,0.000
90,4,516,879.640,5.558,29,206.781,3.723,,,,,29,0.992,0.000,516,18.509,0.000
80,0,786750,1301642,12498340,7,72.403,60.123,,,,219459.4,321402,391316.0,4867527,786750,291121.2,5526810
80,1,699,979.781,2.019,,,,,,,,,,,699,56.766,0.650
80,2,146,353.128,0.121,,,,,,,,,,,146,14.484,0.002
80,3,3463,4777.783,30.657,,,,,,,,,,,3463,203.964,0.792
80,4,2165,3312.844,34.792,29,222.302,8.600,,,,,29,1.021,0.000,2165,76.630,0.002
70,0,786790,1313675,3738972,12,85.161,1.235,,,,222431.1,320537,389913.6,880306.4,786790,295008.5,1555448
70,1,428,623.324,0.687,,,,,,,,,,,428,20.184,0.000
70,2,210,457.831,1.616,,,,,,,,,,,210,16.860,0.002
70,3,2082,3311.773,279.191,,,,,,,,,,,2082,86.403,0.030
70,4,1631,2176.414,2.280,,,,,,,,,,,1631,70.957,0.136
60,0,998295,2033945,27643458,2168,32592.02,2797.837,,,,355823.8,607952,725846.4,5062905,998295,448044.8,727584.5
60,1,1471,2046.797,2.809,,,,,,,,,,,1471,64.210,0.059
60,2,182,483.053,4.737,,,,,,,,,,,182,18.219,0.002
60,3,1111,1870.882,3.832,16,114.235,5.035,,,,,16,0.494,0.000,1111,50.231,0.000
60,4,848,947.639,1.378,,,,,,,,,,,848,36.114,0.000
50,0,1048652,2140296,4501694,211,3132.542,310.377,,,,380678.5,685584,802343.4,12724153,1048652,477276.3,457839.5
50,1,1694,2342.361,2.499,,,,,,,,,,,1694,63.203,0.000
50,2,664,1117.345,2.763,,,,,,,,,,,664,35.383,0.001
50,3,2517,3816.140,6.823,,,,,,,,,,,2517,112.062,0.001
50,4,1069,1415.291,1.752,8,63.505,2.784,,,,,8,0.353,0.000,1069,38.819,0.000
40,0,1048722,2105546,60289236,175,4519.465,617.193,,,,382209.4,694424,778122.9,2994277,1048722,478494.6,6170253
40,1,367,723.660,5.661,36,259.563,6.405,,,,,36,1.266,0.000,367,14.675,0.000
40,2,389,644.209,0.678,,,,,,,,,,,389,24.991,0.002
40,3,3180,5209.984,15.446,,,,,,,,,,,3180,177.461,1.020
40,4,2028,2806.988,2.409,16,114.670,3.730,,,,,16,0.548,0.000,2028,72.827,0.000
30,0,1048652,2059119,2995774,14,170.343,97.771,,,,383614.9,687955,719711.9,3017697,1048652,480407.7,420996.1
30,1,936,1338.870,3.044,,,,,,,,,,,936,47.326,0.117
30,2,301,609.720,1.839,,,,,,,,,,,301,23.082,0.002
30,3,4424,6168.582,80.391,,,,,,,,,,,4424,238.751,1.001
30,4,2489,3667.934,8.990,33,252.713,12.915,,,,,33,1.147,0.000,2489,89.585,0.000
20,0,1048655,2026155,6094525,17,267.010,121.718,,,,381214.2,693003,690061.3,1879569,1048655,477576.8,1071933
20,1,656,988.601,4.080,8,62.581,4.926,,,,,8,0.310,0.000,656,24.779,0.000
20,2,369,741.248,1.759,,,,,,,,,,,369,26.459,0.001
20,3,4237,5895.698,226.232,,,,,,,,,,,4237,284.687,7.385
20,4,2113,2967.735,61.003,,,,,,,,,,,2113,74.039,0.005
10,0,1048807,1989377,2327934,49,439.728,40.417,,,,373597.1,694191,657944.6,3269612,1048807,470390.3,145447.0
10,1,307,438.524,2.273,,,,,,,,,,,307,12.662,0.000
10,2,197,469.602,1.095,,,,,,,,,,,197,18.606,0.002
10,3,3287,5346.314,11.923,,,,,,,,,,,3287,184.194,0.732
10,4,2408,3226.565,8.610,,,,,,,,,,,2408,85.024,0.000
5,0,1048725,1969556,2100603,18,246.469,108.491,,,,374484.7,695166,636243.4,779288.8,1048725,472033.6,246600.2
5,1,522,970.666,7.093,34,241.845,5.548,,,,,34,1.122,0.000,522,31.584,0.254
5,2,330,696.561,5.424,8,58.785,2.177,,,,,8,0.317,0.000,330,22.817,0.002
5,3,3451,5165.295,6.536,,,,,,,,,,,3451,151.515,0.000
5,4,1884,2426.989,1.632,,,,,,,,,,,1884,67.711,0.000
