RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.13,3.06,0:05.20,218375,568190,283282,235271
90,2.25,1.32,0:03.84,7,786562,342289,263456
80,2.34,1.31,0:03.94,7,786559,401535,282745
70,2.34,1.37,0:03.98,12,786567,456552,283539
60,2.47,1.93,0:04.85,2138,996083,564599,504338
50,2.53,1.96,0:04.99,211,1048516,565423,552799
40,2.50,2.04,0:04.99,175,1048552,565525,558419
30,2.61,1.95,0:04.96,14,1048713,565595,562795
20,2.64,1.96,0:04.97,17,1048713,565595,562902
10,2.67,1.97,0:04.96,18,1048710,565585,562997
5,2.79,1.85,0:04.96,18,1048712,565596,563058
