RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,7.72,0.30,0:03.06,0,243640,0,0
90,7.60,0.35,0:03.05,9,245540,12166,164
80,7.58,0.42,0:03.13,35,245037,28864,287
70,7.67,0.85,0:03.32,39504,236153,68902,49937
60,7.80,1.05,0:03.47,58672,230658,86607,71202
50,7.48,1.25,0:03.49,78426,234380,100614,95320
40,8.04,1.41,0:03.80,96972,230884,135784,130279
30,8.80,4.27,0:05.17,184604,771525,456355,493914
20,8.76,5.37,0:05.62,228367,935948,564911,631099
10,8.60,6.07,0:05.79,237541,977628,582539,657832
5,9.24,6.27,0:06.13,277613,1096481,606325,747519
