RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,4.04,0.17,0:04.22,0,104859,0,0
90,4.14,0.32,0:04.47,5708,110796,89060,55687
80,4.19,0.42,0:04.63,3922,109413,186070,157899
70,4.20,0.55,0:04.78,4828,110537,225021,210776
60,4.26,0.68,0:04.96,3883,111003,226575,225866
50,4.35,0.85,0:05.24,16020,128021,272914,263934
40,4.59,1.89,0:06.59,68021,274084,668101,637699
30,4.97,2.47,0:07.95,6264,777024,1761239,1873819
20,4.89,2.93,0:08.39,6918,802688,1870929,1985372
10,5.55,6.81,0:16.07,12674,2252951,3666492,4442036
5,5.52,6.70,0:16.66,4204,2388795,3751007,4665131
