RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.06,1.83,0:03.89,53600,732969,283475,60826
90,2.17,1.72,0:03.99,7,786562,387947,282478
80,2.27,1.63,0:04.00,7,786558,439903,283162
70,2.30,1.59,0:03.99,12,786566,487938,283857
60,2.31,2.48,0:05.09,28,995464,564481,497374
50,2.36,2.71,0:05.43,118,1048608,565362,549368
40,2.48,2.15,0:05.01,17,1048710,565596,562628
30,2.58,1.96,0:04.92,17,1048710,565595,562717
20,2.52,1.97,0:04.87,16,1048714,565592,562781
10,2.48,1.93,0:04.81,17,1048713,565590,562914
5,2.57,1.83,0:04.79,17,1048713,565595,562965
