RATIO,NUM_FAULTS,NUM_MAJOR_FAULTS
100,678584,53
90,691312,84
80,691135,80
70,702871,120
60,766033,21684
50,847753,12078
40,996093,12015
30,1185413,22848
20,1269458,2422
10,1433274,4554
5,1510916,5106
