RATIO,NUM_FAULTS,NUM_MAJOR_FAULTS
100,100881,0
90,167734,3391
80,187179,3133
70,192196,1850
60,198661,898
50,226322,3251
40,1306600,17354
30,1621099,272
20,1624864,90
10,1718631,48418
5,2133993,48578
