RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.44,0.12,0:03.57,0,100590,0,0
90,3.56,0.28,0:03.86,3348,145064,52021,45156
80,3.52,0.38,0:03.94,3078,161027,68263,54604
70,3.52,0.42,0:03.98,1794,163866,70643,62595
60,3.51,0.44,0:03.99,849,167407,70750,68962
50,3.61,0.44,0:04.09,3195,193250,84994,76219
40,4.11,1.66,0:05.89,17297,1203716,605463,332264
30,4.14,2.07,0:06.51,217,1381404,708007,765881
20,4.28,1.97,0:06.55,34,1382441,709095,775989
10,4.07,2.81,0:07.18,48362,1435539,743680,827825
5,4.08,3.50,0:07.88,48524,1848683,816806,1199578
