RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2,3PO_PF_HIT,3PO_PF_TIME,3PO_PF_S2,PREFETCH_TIME,SWAP_CACHE_READ_TIME,BUMP_NEXT_FETCH_TIME
100,0,262927,210671.5,10418.22,30,398.736,95.375,,,,,315,100.969,11.331,262927,8348.819,235.676,,55.104,
100,1,2556,3106.967,5.345,,,,,,,,,,,2556,101.772,0.274,,,
100,2,2068,3387.235,2.660,,,,,,,,,,,2068,140.045,0.135,,,
100,3,9387,11694.69,70.600,,,,,,,,,,,9387,346.044,1.953,,,
100,4,10268,13021.04,99.206,,,,,,,,,,,10268,389.021,2.940,,,
90,0,911415,2009321,4184963,61370,732454.7,110034.9,3,91869.25,8522503,,453468,654411.9,3851693,911415,29756.50,3891.773,,104853.6,
90,1,6666,8596.393,69.701,2,33.974,10.923,,,,,4,0.104,0.000,6666,243.295,0.941,,5.263,
90,2,1624,2964.991,2.637,,,,,,,,,,,1624,117.421,0.002,,,
90,3,6166,7667.692,17.104,,,,,,,,,,,6166,217.671,0.002,,,
90,4,10909,14176.74,90.874,,,,,,,,,,,10909,385.501,1.005,,,
80,0,1174048,3237219,4244168,106522,1253967,276663.3,1,19662.48,0.000,,659920,1188782,4381116,1174048,37942.09,19341.42,,159743.7,
80,1,9662,12048.60,63.419,1,13.241,0.000,,,,,5,0.228,0.002,9662,379.918,2.151,,3.271,
80,2,1590,3267.026,4.025,,,,,,,,,,,1590,173.732,0.494,,,
80,3,9496,12349.51,37.841,,,,,,,,,,,9496,369.702,0.510,,,
80,4,7095,9250.787,35.047,,,,,,,,,,,7095,293.907,1.490,,,
70,0,1518193,4138792,4281325,133478,1621723,2388864,,,,,882158,1508734,2673683,1518193,48905.06,37883.02,,217289.0,
70,1,10092,13047.60,69.325,,,,,,,,,,,10092,348.911,0.008,,,
70,2,1912,3640.304,3.331,,,,,,,,,,,1912,138.638,0.002,,,
70,3,10592,14304.04,436.858,,,,,,,,,,,10592,440.162,5.736,,,
70,4,8641,11424.35,116.041,,,,,,,,,,,8641,347.605,3.552,,,
60,0,1618898,4549635,12736214,166272,1951226,642469.7,,,,,929459,1514094,968082.4,1618898,52974.35,100463.4,,241225.8,
60,1,6330,8263.745,56.763,,,,,,,,,,,6330,235.787,1.024,,,
60,2,1841,3552.487,3.371,,,,,,,,,,,1841,137.682,0.002,,,
60,3,23419,29560.03,1294.609,,,,,,,,,,,23419,1236.067,34.024,,,
60,4,12873,16404.28,377.867,1,10.690,0.000,,,,,9,0.397,0.000,12873,484.108,3.464,,2.311,
50,0,1847567,5008791,2520729,182743,2169194,2110106,,,,,1064329,1613503,5388799,1847567,59683.51,19432.54,,272931.7,
50,1,8760,11418.15,65.050,,,,,,,,,,,8760,400.711,7.385,,,
50,2,1776,3679.752,4.819,1,18.133,0.000,,,,,2,0.039,0.000,1776,170.194,0.284,,3.426,
50,3,8533,11604.34,45.110,,,,,,,,,,,8533,413.199,2.384,,,
50,4,17699,21500.05,487.490,,,,,,,,9,0.400,0.000,17699,925.056,17.890,,,
40,0,2010823,5782385,10405027,254150,2819133,1225246,,,,,1150161,1654316,7136694,2010823,64842.28,475412.4,,303463.0,
40,1,8515,11804.03,142.350,,,,,,,,,,,8515,325.811,0.999,,,
40,2,4026,6009.989,13.932,,,,,,,,,,,4026,206.494,0.006,,,
40,3,12511,16669.95,149.779,,,,,,,,,,,12511,505.096,2.937,,,
40,4,12491,16182.54,602.800,,,,,,,,,,,12491,449.407,2.200,,,
30,0,2347774,6880848,2050180,343617,3694059,2434845,,,,,1332148,1673795,5034968,2347774,76787.83,31635.66,,351106.4,
30,1,9180,11881.74,63.626,,,,,,,,,,,9180,334.824,0.742,,,
30,2,2674,4988.740,11.849,,,,,,,,,,,2674,213.828,0.571,,,
30,3,13774,19003.70,775.757,,,,,,,,,,,13774,658.643,31.995,,,
30,4,10294,13111.20,83.781,,,,,,,,,,,10294,357.524,0.008,,,
20,0,3114168,9210801,1911.570,494723,5239357,10900128,,,,,1756370,2002381,4716334,3114168,100657.8,114341.7,,470416.1,
20,1,13400,16899.99,101.578,,,,,,,,,,,13400,498.158,1.926,,,
20,2,2081,4024.445,333.219,,,,,,,,,,,2081,178.027,15.090,,,
20,3,13358,18557.38,168.498,1,10.112,0.000,,,,,11,0.436,0.000,13358,576.456,2.846,,2.987,
20,4,7537,9863.316,148.493,,,,,,,,,,,7537,302.181,4.283,,,
10,0,3757392,11787836,1209603,704830,7340763,5579121,,,,,2093997,2128690,1307847,3757392,121226.8,169962.1,,584328.5,
10,1,15936,20346.79,1007.409,4,46.333,46.193,,,,,21,0.747,0.000,15936,602.395,22.832,,7.774,
10,2,2548,4733.304,9.938,1,11.922,0.000,,,,,10,6.773,3.987,2548,183.915,0.011,,2.504,
10,3,15578,21984.42,576.641,,,,,,,,,,,15578,680.689,4.176,,,
10,4,9024,11824.61,47.389,,,,,,,,,,,9024,353.193,1.021,,,
5,0,4423359,14408496,5331405,906784,9356791,644091.0,,,,,2443312,2361697,1692037,4423359,144825.8,319127.7,,697768.0,
5,1,14855,18164.50,445.997,1,11.094,0.000,,,,,4,0.190,0.002,14855,625.627,12.160,,2.058,
5,2,3240,5823.390,17.898,,,,,,,,,,,3240,247.263,0.875,,,
5,3,27222,34974.57,1738.675,1,17.342,0.000,,,,,7,0.268,0.001,27222,1464.736,62.456,,3.224,
5,4,19715,24724.76,736.103,,,,,,,,,,,19715,934.116,30.110,,,
