RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.44,0.12,0:03.56,0,100590,0,0
90,3.53,0.25,0:03.78,2373,149060,55623,43926
80,3.53,0.26,0:03.80,891,157514,67294,51429
70,3.49,0.30,0:03.80,1653,165146,70648,63110
60,3.53,0.30,0:03.83,609,169237,70747,68802
50,3.56,0.38,0:03.94,1448,205805,90540,74430
40,3.89,1.92,0:05.81,40098,1208017,618848,426597
30,4.07,1.92,0:06.00,250,1382479,709263,771858
20,3.99,2.07,0:06.07,38,1382847,709447,777547
10,3.94,2.60,0:06.55,45118,1441877,743773,825755
5,4.22,3.19,0:07.43,56434,1856505,824576,1204691
