RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,5.51,0.86,0:06.38,107,678902,1697,624
90,5.60,0.85,0:06.46,1539,687859,80358,13852
80,5.65,0.91,0:06.56,2174,696601,154380,17131
70,5.64,1.09,0:06.75,12498,701831,201786,27632
60,5.76,1.41,0:07.18,48112,732561,297780,67806
50,5.81,1.83,0:07.65,77514,810926,368294,152159
40,5.79,2.43,0:08.24,123993,878136,476007,298713
30,5.87,3.02,0:08.91,184793,989106,577960,446696
20,6.09,3.14,0:09.26,198413,1063562,670304,599153
10,6.11,3.70,0:09.84,243289,1130457,721326,762962
5,7.03,3.74,0:10.83,249480,1195209,770128,850826
