RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.76,0.87,0:03.63,23,534582,0,168
90,2.68,2.56,0:05.28,40013,746680,0,266555
80,2.68,2.55,0:05.27,40073,746620,0,266775
70,2.68,2.71,0:05.42,39829,746871,0,267123
60,2.70,3.26,0:05.98,91996,903246,0,477381
50,2.95,3.39,0:06.36,115675,933181,0,526391
40,2.78,3.21,0:06.00,104601,944255,0,531421
30,2.80,3.22,0:06.04,114698,934159,0,531433
20,2.66,3.36,0:06.03,112154,936702,0,531437
10,2.95,2.95,0:05.92,108691,940165,0,531413
5,2.96,3.01,0:05.98,111978,936878,0,531439
