RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2,3PO_PF_HIT,3PO_PF_TIME,3PO_PF_S2
100,0,786494,639414.9,322610.0,6657,53097.33,118.923,,,,,263195,11955.58,2465.797,786494,25899.44,1729.043
100,1,766,1063.558,1.800,6,41.990,1.481,,,,,18,0.601,0.000,766,28.675,0.000
100,2,598,870.653,3.746,2,14.685,2.461,,,,,10,0.356,0.000,598,26.868,0.013
100,3,3168,3997.316,50.084,,,,,,,,,,,3168,191.776,2.386
100,4,1166,1700.990,1.664,,,,,,,,,,,1166,42.487,0.000
90,0,786494,890495.0,887497.3,32825,233367.7,2624.778,11,48081.71,3628018,,280414,50243.06,7570.613,786494,24438.39,2156.846
90,1,1165,1462.813,1.839,2,36.592,19.506,,,,,8,0.309,0.000,1165,58.889,0.265
90,2,1107,2357.379,7.934,2,15.740,2.894,,,,,24,10.533,3.001,1107,49.956,0.024
90,3,799,1017.496,1.596,,,,,,,,,,,799,28.858,0.000
90,4,750,848.465,2.024,,,,,,,,,,,750,27.222,0.000
80,0,786681,902803.8,26878218,32857,236062.5,3605.461,10,55340.28,1576068,,278092,45544.19,6721.496,786681,25457.43,93267.20
80,1,2129,2820.754,32.486,,,,,,,,,,,2129,105.893,4.077
80,2,1256,2449.869,7.086,5,33.792,1.588,,,,,32,8.133,0.816,1256,54.169,0.021
80,3,1322,1795.973,2.270,,,,,,,,,,,1322,46.896,0.000
80,4,722,1015.724,2.441,1,9.938,0.000,,,,,3,0.085,0.000,722,26.217,0.000
70,0,786815,912330.1,4174028,32805,234774.6,2297.320,11,57273.73,1486903,,278589,46999.93,26560.18,786815,25209.27,18954.68
70,1,1544,2116.369,2.072,,,,,,,,,,,1544,54.321,0.000
70,2,1453,3341.721,8.428,3,20.477,1.459,,,,,9,0.344,0.000,1453,62.774,0.014
70,3,1663,2286.571,3.895,1,10.309,0.000,,,,,9,0.421,0.000,1663,59.938,0.000
70,4,1270,1692.453,2.531,,,,,,,,,,,1270,60.219,0.175
60,0,995456,1290044,4434795,69990,495276.0,14351.95,20,118318.3,3399840,,475870,25092.14,15116.06,995456,31214.60,9388.127
60,1,1178,1534.459,1.514,5,39.133,3.402,,,,,25,0.921,0.000,1178,42.958,0.000
60,2,955,2068.506,6.377,1,8.061,0.000,,,,,10,0.372,0.000,955,46.211,0.014
60,3,769,1010.498,1.585,,,,,,,,,,,769,27.995,0.000
60,4,3710,4319.783,99.825,,,,,,,,,,,3710,244.775,6.509
50,0,1048724,1398066,46670005,81773,579252.9,14289.70,18,89421.70,2535012,,524913,19084.74,15877.71,1048724,33039.19,536163.9
50,1,3990,4638.339,32.380,,,,,,,,,,,3990,194.816,0.673
50,2,2337,5815.556,36.246,,,,,,,,10,0.375,0.000,2337,159.275,0.855
50,3,2345,3113.872,7.054,,,,,,,,,,,2345,83.829,0.000
50,4,1602,2178.964,2.353,,,,,,,,,,,1602,74.887,0.151
40,0,1048727,3959607,5954121,524303,3199706,488149.8,4,26145.33,5968163,,524313,17040.97,1255.753,1048727,34660.43,11797.05
40,1,2532,3352.657,6.982,,,,,,,,,,,2532,123.199,0.602
40,2,1265,2282.277,5.136,5,39.319,7.440,,,,,16,0.647,0.000,1265,77.117,0.237
40,3,661,972.483,2.667,,,,,,,,,,,661,30.840,0.000
40,4,938,1299.141,2.531,,,,,,,,,,,938,40.027,0.000
30,0,1048853,1410009,45524770,85017,577919.1,13111.05,4,19158.79,426820.0,,525195,19544.24,19660.44,1048853,33376.93,136246.2
30,1,2063,2890.224,2.642,,,,,,,,,,,2063,91.435,0.132
30,2,998,2124.607,5.819,3,20.677,1.346,,,,,28,11.116,3.610,998,48.258,0.016
30,3,1382,1830.892,2.317,,,,,,,,,,,1382,49.274,0.000
30,4,672,911.109,2.568,,,,,,,,,,,672,24.325,0.000
20,0,1048733,1354750,2575069,79968,527386.5,8038.302,3,17485.42,200747.8,,524737,17183.10,2270.838,1048733,34259.14,8912.230
20,1,1094,1472.903,3.356,,,,,,,,,,,1094,41.065,0.000
20,2,1429,3055.555,4.756,5,32.648,0.659,,,,,23,12.697,5.080,1429,70.811,0.018
20,3,611,855.958,3.461,,,,,,,,,,,611,22.514,0.000
20,4,1423,1714.616,5.375,,,,,,,,,,,1423,89.414,0.377
10,0,1048776,3915015,6573251,524300,3150764,299231.6,,,,,524313,16736.27,1097.857,1048776,34813.71,59787.63
10,1,2816,4037.861,6.621,,,,,,,,,,,2816,114.187,0.164
10,2,3185,4596.429,21.751,4,25.594,0.400,,,,,8,0.288,0.000,3185,117.145,0.019
10,3,3967,5129.640,12.258,23,155.781,7.242,,,,,26,0.860,0.000,3967,153.581,0.315
10,4,2638,3583.476,7.474,,,,,,,,,,,2638,112.769,0.250
5,0,1048793,1563390,2201914,98318,738105.7,26227.53,,,,,527443,24492.66,8271.321,1048793,33476.28,5974.059
5,1,960,1246.960,1.616,,,,,,,,,,,960,36.167,0.000
5,2,364,647.333,3.025,6,42.600,2.767,,,,,29,5.122,0.608,364,14.352,0.003
5,3,4142,5030.410,26.811,,,,,,,,,,,4142,216.848,0.591
5,4,1652,2411.536,1.905,,,,,,,,,,,1652,58.597,0.000
