RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.46,0.11,0:03.58,0,100589,0,0
90,3.57,0.19,0:03.77,2290,147106,53218,43993
80,3.48,0.30,0:03.79,1724,158748,66594,52983
70,3.54,0.27,0:03.81,1295,164865,70626,62458
60,3.55,0.27,0:03.83,569,168351,70750,69039
50,3.62,0.32,0:03.94,3128,198687,87620,76334
40,4.05,1.40,0:05.45,13691,1193997,599563,426021
30,3.83,1.95,0:05.79,81,1380181,707305,768145
20,3.93,1.89,0:05.83,58,1381716,708798,776570
10,3.94,2.46,0:06.41,51325,1438094,743100,831554
5,4.28,2.94,0:07.23,76663,1834872,824375,1232873
