RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.65,0.82,0:03.48,13,524415,90255,61951
90,3.06,2.10,0:06.83,8,742669,1070927,718080
80,3.36,1.68,0:05.28,8,668329,1198705,1053657
70,3.18,3.95,0:10.34,12,753231,2682871,1846781
60,3.08,5.82,0:13.56,271,920028,3193945,2142694
50,2.99,8.00,0:17.93,180,987973,4597147,3153644
40,3.02,7.90,0:18.70,17,1011009,5099129,3340993
30,3.16,8.63,0:20.27,20,1008902,5443358,3591432
20,3.08,10.24,0:21.66,20,1009387,5919734,3375101
10,2.73,52.36,0:55.56,20,576841,6110394,3301312
5,2.87,40.58,0:46.99,24,745002,6612955,3280630
