RATIO,NUM_FAULTS,NUM_MAJOR_FAULTS
100,534199,214
90,846018,40008
80,848852,41034
70,849128,41996
60,1075442,90086
50,1128455,99463
40,1132828,100532
30,1096341,99106
20,1135663,102588
