RATIO,NUM_FAULTS,NUM_MAJOR_FAULTS
100,100846,0
90,118484,1634
80,118256,1703
70,107555,1094
60,106505,549
50,149626,2424
40,668878,41864
30,855586,432
20,880355,3431
