RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,4.21,0.18,0:04.41,0,100590,0,0
90,4.38,0.28,0:04.72,639,110955,224170,209814
80,4.46,0.51,0:05.05,3846,118233,298054,272022
70,4.42,0.71,0:05.21,4466,118231,370079,321577
60,4.41,0.92,0:05.41,2736,118306,380765,361468
50,4.47,1.78,0:06.36,37147,168929,578676,536713
40,4.91,4.26,0:10.62,19150,712135,2516545,2458424
30,5.25,3.79,0:14.19,613,1130912,3438582,3700777
20,5.22,3.49,0:13.93,298,1133354,3404320,3612577
10,5.06,5.17,0:13.38,17787,999448,3044937,3145632
5,5.46,8.87,0:19.23,63821,1360643,3595459,5042441
