RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.92,0.10,0:01.58,0,100476,0,0
90,4.03,0.96,0:01.93,41993,111570,64132,45741
80,4.10,0.80,0:01.95,48842,113659,71584,53228
70,4.14,0.88,0:02.02,58937,121933,78536,64208
60,4.02,0.97,0:02.01,63630,109242,73436,69501
50,4.37,1.20,0:02.19,71328,199356,124224,89863
40,5.37,4.04,0:03.55,163984,974665,572111,356245
30,5.44,6.09,0:04.50,253902,1076245,680207,749750
20,4.84,6.42,0:04.46,268452,1104238,705586,787994
10,4.98,6.50,0:04.63,283663,1098928,709717,798254
5,5.86,6.81,0:05.15,295520,1138553,730570,812074
