RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME
100,0,99304,127435.9,1711.474,,,,,,,6361.207
100,1,933,1559.215,1.939,,,,,,,152.242
100,2,873,2655.463,587.189,,,,,,,1354.232
100,3,219,358.817,2.442,,,,,,,
100,4,403,693.704,0.929,,,,,,,
100,5,119,174.306,2.372,,,,,,,
100,6,73,86.318,0.530,,,,,,,
90,0,116999,170702.0,315886.3,67,508.104,33.039,2,51387.06,291518376,35723.07
90,1,18243,53043.03,14244.36,1,33.684,0.000,1,43556.53,0.000,32659.67
90,2,16843,52937.47,133341.0,,,,2,47175.15,645359826,32911.16
90,3,502,921.282,1.836,,,,,,,
90,4,278,445.834,2.535,,,,,,,
90,5,73,104.532,0.738,,,,,,,
90,6,109,165.182,0.712,,,,,,,
80,0,119698,181018.7,59180.93,48,391.422,63.648,4,80257.66,84448618,39409.85
80,1,25486,67414.34,50827.72,12,100.284,51.619,1,33393.36,0.000,38339.24
80,2,19335,56576.76,191150.4,1,18.843,0.000,1,32679.72,0.000,34157.32
80,3,625,1128.456,1.688,,,,,,,
80,4,375,629.411,1.217,,,,,,,
80,5,22,19.259,0.783,,,,,,,
80,6,77,127.368,2.408,,,,,,,
70,0,119818,182545.5,87512.67,150,1027.827,24.870,5,61565.59,17098208,41464.11
70,1,25217,69044.94,223932.6,,,,2,22982.02,12529862,40775.28
70,2,21838,62997.67,278699.5,,,,2,23104.33,14069894,37996.61
70,3,198,389.793,1.617,,,,,,,
70,4,126,221.576,1.856,,,,,,,
70,5,148,236.987,1.589,,,,,,,
70,6,180,299.145,0.789,,,,,,,
60,0,119866,190813.2,214823.0,66,564.243,49.632,4,52440.88,80656100,43598.12
60,1,25730,71450.10,86500.78,16,121.385,41.690,2,37093.63,133417484,42692.39
60,2,39899,86114.02,32135.88,329,5470.273,125.133,2,35261.54,114394534,44336.86
60,3,358,621.900,5.857,9,92.810,69.248,,,,
60,4,491,897.032,1.233,,,,,,,
60,5,220,420.700,4.461,,,,,,,
60,6,63,90.258,0.813,,,,,,,
50,0,177380,247672.4,146815.1,1190,13050.35,92.997,3,40664.38,37669303,53282.42
50,1,40114,90315.23,32379.10,160,2447.798,134.718,4,116145.4,113934096,47597.30
50,2,96383,136556.6,66276.21,723,13553.89,126.902,4,114747.9,127493265,54063.86
50,3,496,1044.554,8.222,35,264.376,29.143,,,,
50,4,90,140.617,1.047,,,,,,,
50,5,2,13.116,0.712,,,,,,,
50,6,132,236.090,0.690,,,,,,,
40,0,406048,599678.9,1066708,1251,8623.822,22.428,5,69463.94,20373821,225604.0
40,1,293848,467581.2,8799505,908,6241.058,22.272,6,89144.16,47208989,226219.9
40,2,296486,471800.5,1048423,927,6396.165,20.893,9,182147.3,102945525,230805.8
40,3,328,610.603,4.606,31,185.521,0.921,,,,
40,4,,,,,,,,,,
40,5,180,289.689,7.945,2,38.617,370.872,,,,
40,6,117,162.545,1.721,,,,,,,
30,0,443293,829020.7,12038313,93,696.320,26.461,4,39485.48,36001396,375385.0
30,1,325485,674567.7,10417236,4,84.276,216.453,,,,357673.7
30,2,317305,629465.8,1238040,28,248.304,31.751,,,,332557.1
30,3,281,666.324,5.863,29,202.364,5.524,,,,
30,4,192,311.905,0.839,,,,,,,
30,5,131,164.515,1.266,,,,,,,
30,6,171,234.881,2.046,,,,,,,
20,0,450304,783542.5,1938182,105,795.501,22.852,3,38666.75,23556658,342428.5
20,1,325534,600252.3,1992527,1,36.011,0.000,1,17590.02,0.000,312474.2
20,2,326623,609248.0,1220981,20,159.403,49.345,1,17590.61,0.000,316277.2
20,3,134,231.024,1.601,,,,,,,
20,4,116,195.803,0.579,,,,,,,
20,5,2,20.115,12.525,,,,,,,
20,6,131,233.958,0.683,,,,,,,
10,0,458035,772792.8,1789344,1328,7898.315,6.103,6,56017.33,6117729,324662.5
10,1,330171,602027.6,2266934,1639,9556.167,3.981,2,24054.50,3553447,306814.4
10,2,332766,601132.9,144884645,1613,9357.109,5.881,4,46191.04,1512763,305551.1
10,3,75,107.117,0.819,,,,,,,
10,4,116,214.246,0.740,,,,,,,
10,5,1,8.332,0.000,,,,,,,
10,6,,,,,,,,,,
5,0,484706,1250548,33245022,6585,36141.20,3069.534,6,35726.03,557033.9,588916.1
5,1,355187,1088080,8579978,5485,19442.06,42393.99,1,7251.823,0.000,566883.3
5,2,358192,1094505,5415505,6198,30898.92,275.568,1,7404.186,0.000,570161.4
5,3,,,,,,,,,,
5,4,135,233.367,0.347,,,,,,,
5,5,112,182.461,0.867,,,,,,,
5,6,,,,,,,,,,
