RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,6.32,0.29,0:06.62,4,101181,0,65
90,6.58,0.54,0:07.13,41193,111191,0,42096
80,6.90,0.64,0:07.55,48977,113913,0,50069
70,6.87,0.78,0:07.66,57595,114433,0,59045
60,6.99,0.74,0:07.73,64603,129180,0,66415
50,6.53,1.13,0:07.67,75498,236654,0,92152
40,7.55,2.46,0:10.06,208858,851240,0,508920
30,7.94,2.65,0:10.64,226490,877498,0,580395
20,7.94,2.62,0:10.61,226099,877746,0,586102
10,7.66,3.07,0:10.83,249914,977917,0,660536
5,7.75,5.07,0:13.00,426450,1273464,0,1113396
