RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,4.28,0.20,0:04.50,0,100590,0,0
90,4.45,0.39,0:04.91,909,112076,270351,253613
80,4.58,0.79,0:05.45,4405,124462,358879,323961
70,4.55,1.01,0:05.62,4602,117326,444016,392669
60,4.56,1.25,0:05.92,8664,127489,467782,440683
50,4.68,1.96,0:06.75,30623,175083,660146,611492
40,5.13,5.27,0:12.39,23850,727495,3024613,2950757
30,5.45,4.97,0:17.19,210,1168696,4248939,4594816
20,5.52,4.84,0:17.07,33,1169056,4213002,4542260
10,5.34,7.31,0:17.42,19143,1099471,4229807,4598723
5,5.25,11.06,0:23.16,61375,1514911,4366360,6420951
