RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.27,0.78,0:03.08,707,691699,178301,5598
90,2.30,1.65,0:04.14,32836,753730,385416,282998
80,2.21,1.79,0:04.17,32842,753724,440844,283793
70,2.26,1.71,0:04.15,32814,753760,490552,284513
60,2.41,2.77,0:05.30,74515,921844,564474,497966
50,2.29,3.16,0:05.56,80370,968356,565368,550273
40,2.39,2.53,0:05.03,78478,970249,565588,563003
30,2.42,2.52,0:05.08,86796,961931,565587,563013
20,2.45,2.49,0:05.04,82946,965782,565585,563016
10,2.48,2.39,0:05.03,94002,954727,565577,563004
5,2.55,2.49,0:05.20,130431,918296,565581,563018
