RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,5.54,0.77,0:06.32,111,678723,-72913298,639
90,5.63,0.76,0:06.40,1573,687825,-72914823,13500
80,5.66,0.87,0:06.55,2004,690372,-72969923,15847
70,5.75,1.15,0:06.92,9110,705123,-73117004,32082
60,5.72,1.74,0:07.47,53908,725350,-73320122,75015
50,5.76,2.41,0:08.20,102152,798633,-73627374,145608
40,5.84,3.40,0:09.28,183099,848747,-74018715,305512
30,5.87,3.99,0:09.94,252563,908904,-74529448,460126
20,5.91,4.85,0:10.87,335819,928306,-75083446,591755
10,6.20,5.36,0:11.74,414246,961196,-75757083,740795
5,6.87,5.79,0:12.88,446498,999936,-76472232,826196
