RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.93,0.11,0:04.05,0,104852,0,0
90,3.91,0.37,0:04.29,14005,112570,54712,31073
80,4.02,0.93,0:04.96,50893,116955,156089,113041
70,4.02,1.08,0:05.12,66459,113157,152183,147556
60,4.08,1.16,0:05.26,75963,119190,165118,165995
50,4.19,1.33,0:05.54,88750,156228,219911,208827
40,4.60,2.79,0:07.67,125848,554504,584649,564084
30,4.99,5.17,0:10.99,205148,1079743,1274573,1411779
20,4.99,5.72,0:11.59,218916,1111155,1363154,1532035
10,5.12,12.67,0:20.05,490804,2114798,2524408,3058071
5,5.21,12.67,0:20.27,472705,2193323,2567049,3293096
