RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.87,0.14,0:04.01,0,104760,0,0
90,3.88,0.29,0:04.17,5275,108517,25919,18117
80,3.87,0.31,0:04.19,4185,108375,61480,55624
70,3.89,0.32,0:04.22,4770,108226,74517,73559
60,3.77,0.38,0:04.16,5044,110790,76671,79505
50,3.82,0.62,0:04.45,16678,123964,90082,92679
40,4.02,1.76,0:05.80,66796,267885,228257,227581
30,4.24,1.59,0:05.85,6278,667302,647770,693033
20,4.31,1.67,0:06.02,5875,700104,679063,740878
10,4.58,3.16,0:07.80,5234,1311927,1282078,1584803
5,4.48,3.18,0:07.72,3935,1302546,1282947,1613404
