RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.93,0.11,0:01.59,0,100476,-24519294,0
90,4.15,1.04,0:02.01,41963,106078,-24519294,45447
80,4.13,1.17,0:02.08,49769,118522,-24578956,54394
70,4.09,1.36,0:02.17,58750,120666,-24654043,64153
60,4.16,1.33,0:02.17,63427,110210,-24731840,69686
50,4.16,1.73,0:02.32,70061,168368,-24805696,83738
40,5.50,5.16,0:03.98,164680,966844,-24912848,359533
30,5.90,7.36,0:05.11,252738,1074830,-25481372,747388
20,5.18,7.63,0:05.03,265873,1104713,-26160189,788227
10,4.68,8.25,0:05.21,283148,1099517,-26864406,798883
5,6.19,8.23,0:05.90,308891,1133839,-27574199,813934
