RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2
100,0,104686,77822.13,1072.165,,,,,,,5896.007,,,
100,1,1062,1337.034,2.256,,,,,,,,,,
100,2,360,606.677,2.994,,,,,,,,,,
100,3,662,668.819,3.598,,,,,,,,,,
100,4,3624,4177.099,413.791,,,,,,,,,,
90,0,141664,184420.7,67758.86,7610,64145.91,690.849,1,27739.33,0.000,18023.89,35256,4630.758,368.857
90,1,1639,2033.490,1.936,,,,,,,,,,
90,2,240,429.438,2.761,,,,,,,,,,
90,3,1504,1869.839,1.921,16,110.901,1.455,,,,,16,0.554,0.000
90,4,1110,1295.540,2.786,,,,,,,,,,
80,0,174981,244078.9,89212.05,7163,59976.64,288.115,3,99244.81,145011516,40043.38,73538,20788.43,13679.83
80,1,1472,1794.432,1.384,,,,,,,,,,
80,2,300,665.281,6.864,16,113.524,2.095,,,,,16,0.567,0.000
80,3,1539,1819.472,1.135,,,,,,,,,,
80,4,1544,1979.380,2.004,,,,,,,,,,
70,0,180535,247477.7,148477.3,4183,32183.57,712.964,5,139975.6,5275703,52088.30,82410,31507.39,9374.010
70,1,1736,2325.105,2.502,,,,,,,,,,
70,2,881,1311.575,3.018,,,,,,,,,,
70,3,2467,3001.207,3.879,,,,,,,,,,
70,4,1949,2552.923,2.461,16,111.258,1.327,,,,,16,0.560,0.000
60,0,180425,255366.2,277965.5,3343,24209.79,88.962,6,142400.5,23474470,57176.49,85348,38801.36,2545.127
60,1,892,1149.027,1.991,,,,,,,,,,
60,2,324,533.922,0.592,,,,,,,,,,
60,3,3026,3769.483,35.975,,,,,,,,,,
60,4,1956,2392.488,1.877,28,194.958,0.835,,,,,28,1.234,0.000
50,0,199685,290443.3,126135.6,5729,44060.35,185.148,6,113927.4,9233908,57932.28,94201,37418.08,38197.79
50,1,3826,4197.357,55.691,,,,,,,,,,
50,2,781,1078.042,1.676,,,,,,,,,,
50,3,2566,3196.272,4.341,,,,,,,,,,
50,4,2065,2527.932,1.302,,,,,,,,,,
40,0,424100,647566.2,64360184,20749,185748.3,16270.14,5,104496.2,47333003,123964.2,221493,47709.92,25819.44
40,1,2705,3818.271,6.412,8,59.394,2.532,,,,,9,0.335,0.000
40,2,348,561.415,0.543,,,,,,,,,,
40,3,2864,3722.877,3.513,,,,,,,,,,
40,4,2403,2893.431,5.994,,,,,,,,,,
30,0,1305396,1618933,1306121,17521,172857.7,8819.520,5,88869.39,40917391,465501.3,719330,145281.7,115865.5
30,1,2736,3951.411,6.863,,,,,,,,,,
30,2,969,1360.043,2.533,,,,,,,,,,
30,3,3608,5060.396,195.642,,,,,,,,,,
30,4,2561,3236.792,4.391,,,,,,,,,,
20,0,1342401,1801434,1988514,34092,306191.2,22523.64,6,96890.80,4483989,487245.0,742314,141084.5,150255.8
20,1,511,458.972,1.359,,,,,,,,,,
20,2,1556,2135.109,1.984,,,,,,,,,,
20,3,5142,7606.546,99.619,,,,,,,,,,
20,4,2945,3717.663,248.453,,,,,,,,,,
10,0,2531387,3203396,3683327,36598,269262.6,6520.522,5,97113.51,423570.8,915001.2,1538436,375252.0,546465.0
10,1,444,585.414,1.897,,,,,,,,,,
10,2,661,1096.400,1.566,,,,,,,,,,
10,3,783,734.537,0.801,,,,,,,,,,
10,4,4876,6729.606,21.598,,,,,,,,,,
5,0,2664942,3766014,146035591,36687,266361.4,12563.22,7,97431.59,1770299,1105891,1686886,582802.5,1044807
5,1,2627,3105.372,3.879,,,,,,,,,,
5,2,340,808.845,3.405,,,,,,,,,,
5,3,3473,4788.192,7.418,,,,,,,,,,
5,4,643,770.624,1.087,,,,,,,,,,
