RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.87,0.10,0:03.98,0,104761,0,0
90,3.86,0.31,0:04.18,7610,134018,37714,23190
80,3.87,0.36,0:04.24,7163,167781,74180,54923
70,3.79,0.42,0:04.23,4175,176149,74431,69495
60,3.77,0.44,0:04.23,3343,177087,74607,77911
50,3.82,0.46,0:04.31,5729,193921,84844,80995
40,3.96,0.86,0:04.85,20749,403314,191754,176667
30,4.33,2.00,0:06.39,17521,1287950,665787,685590
20,4.50,2.09,0:06.64,34092,1308311,689939,743446
10,4.57,3.89,0:08.61,36598,2494755,1219656,1279287
5,4.52,4.43,0:09.20,36687,2628258,1282394,1613324
