RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.75,0.81,0:03.57,118,550276,26204,502
90,2.59,3.42,0:06.02,140108,908718,534634,531492
80,2.44,3.54,0:05.99,139502,909329,534637,531518
70,2.60,3.44,0:06.05,141548,907282,534629,531538
60,2.73,3.15,0:05.89,141193,907641,534638,531543
50,2.72,3.13,0:05.86,138960,909878,534639,531538
40,2.74,3.08,0:05.83,139737,909104,534637,531524
30,2.80,2.98,0:05.79,138578,910265,534638,531531
20,2.77,2.96,0:05.74,141306,907540,534638,531516
10,2.85,2.86,0:05.72,139753,909094,534633,531509
5,2.71,3.02,0:05.74,138819,910032,534632,531490
