RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,5.18,2.40,0:07.59,0,1446012,0,0
90,5.18,2.92,0:08.11,2241,1449665,386089,6593
80,5.26,3.07,0:08.34,1789,1450108,536481,10366
70,5.27,4.49,0:09.77,24743,1785545,1134949,284726
60,5.37,7.49,0:12.88,177307,2220122,2047957,903780
50,5.51,14.68,0:20.31,925828,2328024,3177546,2294411
40,6.61,33.19,0:40.01,1345582,6009483,8760382,8397907
30,6.87,45.40,0:52.72,2400835,6447807,9537081,13519995
