RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.93,0.13,0:01.62,0,100476,0,0
90,4.33,0.40,0:01.87,11321,115348,45198,41451
80,4.35,0.49,0:01.92,14578,114105,60367,52140
70,4.48,0.64,0:02.04,22666,119611,77277,67924
60,4.39,0.60,0:02.00,19652,119273,77539,74063
50,4.77,0.71,0:02.16,29262,151913,108926,103599
40,5.26,2.11,0:02.82,30299,426787,405616,380861
30,5.21,3.56,0:03.36,15440,697638,688639,733526
20,5.26,3.21,0:03.28,1528,724612,705173,767665
10,5.38,3.48,0:03.43,1099,743950,709343,775253
5,6.69,4.31,0:04.24,45813,715502,713698,780501
