RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2,3PO_PF_HIT,3PO_PF_TIME,3PO_PF_S2,PREFETCH_TIME,SWAP_CACHE_READ_TIME,BUMP_NEXT_FETCH_TIME
30,0,1048964,1845723,7861704,144541,1008198,96830.20,1,4972.940,0.000,,524807,19027.49,4362.930,1048964,33058.06,11759.24,,,
30,1,1452,1998.677,2.969,,,,,,,,,,,1452,91.349,0.363,,,
30,2,735,1638.649,10.242,2,14.300,1.545,,,,,10,0.384,0.000,735,30.764,0.008,,,
30,3,904,1269.525,1.783,4,29.462,3.089,,,,,20,5.840,1.280,904,33.997,0.000,,,
30,4,1164,1412.940,4.981,,,,,,,,,,,1164,45.862,0.000,,,
