RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.43,0.13,0:03.57,0,100590,0,0
90,3.53,0.30,0:03.86,3342,144866,51877,45119
80,3.54,0.37,0:03.94,2834,160301,67979,54262
70,3.52,0.41,0:03.97,1836,164014,70646,62546
60,3.49,0.45,0:03.99,915,167553,70751,69023
50,3.62,0.44,0:04.10,3229,194253,85233,76283
40,4.02,1.74,0:05.88,16829,1195358,600773,335304
30,4.10,2.12,0:06.51,180,1381305,707992,765385
20,4.38,1.88,0:06.57,33,1382442,709213,776084
10,4.06,2.81,0:07.17,48100,1435643,743936,827720
5,3.97,3.59,0:07.87,46219,1849058,816488,1195422
