RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.71,1.29,0:04.01,1966,613357,0,2654
90,2.94,2.39,0:05.34,53,1048862,0,517924
80,2.89,2.50,0:05.40,48,1048876,0,531417
70,3.09,2.20,0:05.29,47,1048878,0,531440
60,2.96,2.27,0:05.24,47,1048881,0,531418
50,3.13,2.20,0:05.34,47,1048888,0,531437
40,3.07,2.26,0:05.34,50,1048888,0,531447
30,3.06,2.16,0:05.23,47,1048891,0,531437
20,3.04,2.20,0:05.25,47,1048892,0,531427
10,2.93,2.31,0:05.25,45,1048897,0,531391
5,2.92,2.32,0:05.24,47,1048896,0,531417
