RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.26,0.80,0:03.10,681,687410,-44100604,5516
90,2.27,1.76,0:04.25,32835,753730,-44274312,282952
80,2.30,1.78,0:04.29,32843,753723,-44656936,283850
70,2.38,1.66,0:04.25,32819,753753,-45101753,284524
60,2.42,2.82,0:05.39,66991,929331,-45593615,497925
50,2.24,3.82,0:06.20,118766,929963,-46158086,550907
40,2.47,3.95,0:06.55,175402,873328,-46723466,563025
30,2.39,3.02,0:05.54,118700,930026,-47289053,563010
20,2.43,3.30,0:05.88,125732,922994,-47854639,563019
10,2.49,2.87,0:05.51,124104,924624,-48420225,563007
5,2.48,3.33,0:05.93,167499,881227,-48985811,563019
