RATIO,NUM_FAULTS,NUM_MAJOR_FAULTS
100,100729,0
90,148452,42235
80,168387,49932
70,177735,58352
60,173523,63819
50,243192,71536
40,1201125,159667
30,1469589,252429
20,1520888,261213
10,1539585,283770
5,1623421,295683
