RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2
100,0,1048794,4953656,16870045,438429,4200933,4311637,,,,65958.36,524302,20015.83,2303.475
100,1,976,1219.243,1.791,,,,,,,,,,
100,2,371,767.220,2.165,,,,,,,,,,
100,3,6620,7371.963,395.003,,,,,,,,,,
100,4,937,1215.639,1.805,,,,,,,,,,
90,0,1048841,2399203,15945794,22,577.413,247.563,,,,393434.2,734315,1143334,9564684
90,1,4685,5068.728,320.474,,,,,,,,,,
90,2,676,941.784,2.436,,,,,,,,,,
90,3,2325,3439.141,9.318,16,112.963,3.701,,,,,16,0.556,0.000
90,4,1976,2510.516,2.804,,,,,,,,,,
80,0,1048717,2432569,3438181,14,203.420,111.142,,,,400725.4,757953,1160672,10748792
80,1,720,774.876,3.433,,,,,,,,,,
80,2,261,503.313,1.798,,,,,,,,,,
80,3,2795,4009.610,3.320,,,,,,,,,,
80,4,2166,2647.561,20.128,,,,,,,,,,
70,0,1048840,2385119,2325088,14,199.094,105.098,,,,400833.9,754084,1099835,12204478
70,1,1023,1466.949,3.880,16,112.512,3.185,,,,,16,0.564,0.000
70,2,183,413.925,0.080,,,,,,,,,,
70,3,1003,1245.336,2.149,,,,,,,,,,
70,4,307,418.481,4.583,,,,,,,,,,
60,0,1048929,2318813,3850832,15,201.109,110.098,,,,395117.6,757517,1045524,5424363
60,1,2341,2946.396,6.558,,,,,,,,,,
60,2,927,1379.597,3.028,,,,,,,,,,
60,3,2906,4228.283,4.532,8,76.830,33.065,,,,,8,0.333,0.000
60,4,2552,3242.969,5.579,,,,,,,,,,
50,0,1048857,2281800,4365157,16,242.954,125.080,,,,388530.0,759044,1015077,3521180
50,1,1880,2457.015,2.120,,,,,,,,,,
50,2,348,659.830,4.022,,,,,,,,,,
50,3,2764,4164.173,5.975,,,,,,,,,,
50,4,1658,2131.923,2.021,,,,,,,,,,
40,0,1048849,2221490,46408063,10,157.050,131.344,,,,387798.2,770274,957323.0,5072879
40,1,572,778.227,2.626,16,114.936,5.640,,,,,16,0.580,0.000
40,2,260,540.087,3.476,,,,,,,,,,
40,3,337,388.901,0.398,,,,,,,,,,
40,4,2312,3186.862,14.770,28,210.591,7.438,,,,,28,1.075,0.000
30,0,1048802,2178466,23253243,15,203.677,106.189,,,,381760.0,766836,918041.9,1630740
30,1,1488,2213.989,2.918,34,241.231,3.506,,,,,34,1.313,0.000
30,2,1063,1531.233,3.237,,,,,,,,,,
30,3,3058,4321.027,21.097,,,,,,,,,,
30,4,2004,2638.309,2.902,,,,,,,,,,
20,0,1048844,2136333,3495787,15,106.062,1.206,,,,380643.3,772904,873791.9,3684703
20,1,131,145.106,0.255,,,,,,,,,,
20,2,840,1248.811,1.493,,,,,,,,,,
20,3,2694,4196.491,6.331,16,120.085,7.630,,,,,16,0.826,0.000
20,4,1372,1750.252,2.866,,,,,,,,,,
10,0,1048871,2094094,1872884,14,157.918,61.520,,,,377391.8,766389,841518.0,2149628
10,1,398,479.770,1.250,,,,,,,,,,
10,2,382,828.276,3.950,16,113.697,2.708,,,,,16,0.573,0.000
10,3,142,215.507,3.972,,,,,,,,,,
10,4,1930,2438.008,1.866,,,,,,,,,,
5,0,1048741,2074358,4029286,15,121.993,17.665,,,,380583.7,770823,809446.8,1736975
5,1,1596,2138.803,2.170,29,209.486,4.986,,,,,29,1.119,0.000
5,2,259,542.636,3.484,,,,,,,,,,
5,3,2413,3571.470,7.500,,,,,,,,,,
5,4,1170,1493.469,2.436,,,,,,,,,,
