RATIO,NUM_FAULTS,NUM_MAJOR_FAULTS
100,1049141,438479
90,1259171,77
80,1282807,68
70,1278939,69
60,1282376,71
50,1283900,71
40,1295127,66
30,1291698,73
20,1297765,73
10,1291252,72
5,1295678,70
