RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,6.97,1.08,0:08.06,62,678545,0,218
90,6.89,1.18,0:08.08,1754,687748,0,12559
80,7.06,1.19,0:08.25,1798,688860,0,13071
70,6.88,1.87,0:08.76,9206,705741,0,26985
60,7.24,1.93,0:09.18,45859,720478,0,60688
50,7.36,2.69,0:10.08,83010,824785,0,128982
40,7.44,3.32,0:10.78,119410,919507,0,287647
30,7.68,3.78,0:11.48,192003,974509,0,451251
20,7.80,4.12,0:11.95,231348,1029668,0,570383
10,7.99,4.82,0:12.86,304415,1070791,0,760209
5,8.82,4.94,0:13.81,324711,1125314,0,842618
