RATIO,NUM_FAULTS,NUM_MAJOR_FAULTS
100,1049086,468001
90,1462841,53
80,1464477,55
70,1468482,55
60,1474562,48
50,1471964,57
40,1477183,56
30,1473869,54
20,1480763,56
