RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,6.78,1.08,0:07.87,137,679728,0,589
90,6.83,1.14,0:07.98,1707,687690,0,12496
80,6.90,1.14,0:08.04,1770,689066,0,13097
70,6.93,1.49,0:08.43,9420,707516,0,27661
60,6.95,2.06,0:09.02,46917,732001,0,66397
50,7.08,2.61,0:09.72,81169,823804,0,126702
40,7.29,3.16,0:10.47,120710,917231,0,287455
30,7.38,3.55,0:10.95,185850,979813,0,446604
20,7.44,4.10,0:11.58,224637,1034809,0,569185
10,7.68,4.70,0:12.41,302665,1072640,0,760218
5,8.59,4.81,0:13.44,319782,1119260,0,839463
