RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2
100,0,104686,67350.23,958.184,,,,,,,,,,
100,1,1528,1832.090,1.533,,,,,,,,,,
100,2,538,848.102,4.508,,,,,,,,,,
100,3,1610,1921.272,1.610,,,,,,,,,,
100,4,1410,1736.048,1.897,,,,,,,,,,
90,0,141642,280090.1,604876.9,21135,188602.3,3514.251,1,28295.59,0.000,,34302,2649.309,87.574
90,1,2096,2564.337,63.109,,,,,,,,,,
90,2,554,972.275,3.007,,,,,,,,,,
90,3,1529,1821.796,1.559,,,,,,,,,,
90,4,1148,1371.963,1.786,,,,,,,,,,
80,0,173498,531640.1,313621.9,48458,420775.2,20046.38,3,84351.66,3257765,,66069,3600.170,1333.038
80,1,921,1084.465,1.485,,,,,,,,,,
80,2,296,586.139,3.685,,,,,,,,,,
80,3,788,976.789,1.679,,,,,,,,,,
80,4,1995,2470.778,1.650,,,,,,,,,,
70,0,180352,598299.8,723804.0,62015,483759.5,33211.24,5,149672.8,23484848,,73142,3732.357,594.829
70,1,1251,1648.488,2.978,,,,,,,,,,
70,2,254,480.134,2.754,,,,,,,,,,
70,3,1135,1320.271,1.886,,,,,,,,,,
70,4,2111,2729.115,57.345,,,,,,,,,,
60,0,198740,712362.5,942495.7,74203,586057.3,20149.02,6,143343.8,90402972,,82488,4829.841,2081.573
60,1,2264,2996.928,10.466,,,,,,,,,,
60,2,435,675.575,1.135,,,,,,,,,,
60,3,2121,2496.016,26.451,,,,,,,,,,
60,4,1669,1975.977,1.904,,,,,,,,,,
50,0,268628,847290.2,1730048,79911,673726.7,47967.78,5,104237.2,86318153,,119235,14287.89,26828.42
50,1,873,1094.302,2.181,2,19.958,9.262,,,,,7,0.240,0.000
50,2,192,435.210,2.615,,,,,,,,,,
50,3,2517,3146.588,6.660,,,,,,,,,,
50,4,1961,2434.621,2.066,,,,,,,,,,
40,0,773755,1864438,4445592,124443,1282354,316440.5,5,104761.3,80920898,,427219,171783.8,374328.2
40,1,888,1028.466,0.943,,,,,,,,,,
40,2,501,843.679,1.940,,,,,,,,,,
40,3,229,260.854,0.548,,,,,,,,,,
40,4,2983,3992.860,48.852,,,,,,,,,,
30,0,1307362,3597922,1523128,221377,2223552,1166005,5,96744.64,35504635,,871247,657348.5,682001.9
30,1,2076,2679.229,777.985,,,,,,,,,,
30,2,469,1048.316,7.810,,,,,,,,,,
30,3,1857,2585.163,1.969,,,,,,,,,,
30,4,7407,8309.793,121.613,,,,,,,,,,
20,0,1340865,3749473,5943705,229460,2323875,635010.9,6,98460.06,13142519,,898029,685566.3,1398187
20,1,2976,3687.803,60.303,,,,,,,,,,
20,2,1044,1586.770,3.263,,,,,,,,,,
20,3,5378,7435.091,18.515,,,,,,,,,,
20,4,1967,2656.357,3.230,,,,,,,,,,
10,0,2611017,7765544,7017710,454516,4822404,15206735,5,98652.15,243731.9,,1836460,1531739,4728426
10,1,2780,3853.548,41.600,,,,,,,,,,
10,2,677,1476.055,3.588,,,,,,,,,,
10,3,2703,3774.753,6.412,,,,,,,,,,
10,4,11515,12876.35,277.276,3,29.334,3.593,,,,,9,0.343,0.000
5,0,2665121,8259636,2485289,459226,4862368,11996268,6,85758.42,3180082,,1951875,1916668,3845347
5,1,501,618.747,2.005,,,,,,,,,,
5,2,506,1117.870,2.014,,,,,,,,,,
5,3,9549,12260.22,189.259,,,,,,,,,,
5,4,6689,7476.248,37.081,3,34.501,14.033,,,,,9,0.343,0.000
