RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.85,0.12,0:03.98,0,104761,0,0
90,3.87,0.37,0:04.26,21135,120323,39390,25081
80,3.73,0.74,0:04.48,48458,124831,74148,53709
70,3.71,0.81,0:04.53,62015,118412,74457,68753
60,3.73,0.89,0:04.62,74203,124612,84413,81740
50,3.76,1.02,0:04.80,79911,188722,121548,92602
40,4.10,2.01,0:06.20,124443,649318,382029,252003
30,4.35,3.60,0:08.28,221375,1085925,666397,721645
20,4.31,3.85,0:08.50,229460,1111296,689179,756488
10,4.35,7.90,0:13.10,454516,2156315,1263972,1311327
5,4.47,7.96,0:13.55,459226,2205730,1282648,1630625
