RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.12,3.54,0:05.80,118414,930371,564427,494249
90,2.08,4.18,0:06.33,231365,817427,564466,495958
80,2.17,3.65,0:05.90,139595,909197,565606,563095
70,2.19,3.56,0:05.80,136271,912528,565617,563148
60,2.26,3.50,0:05.79,143747,905053,565615,563142
50,2.34,3.83,0:06.19,234897,813906,565613,563167
40,2.29,3.54,0:05.85,181042,867764,565620,563140
30,2.41,3.42,0:05.85,192567,856244,565623,563158
20,2.40,3.07,0:05.51,138105,910710,565622,563151
10,2.65,2.96,0:05.64,131757,917062,565623,563146
5,2.54,2.84,0:05.39,135203,913617,565614,563124
