RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.76,0.10,0:02.12,0,100521,0,0
90,3.96,0.26,0:02.34,842,140570,44232,41554
80,3.99,0.34,0:02.41,3017,153058,59307,53974
70,3.99,0.39,0:02.44,3507,162382,73525,64727
60,4.00,0.43,0:02.48,5368,172197,77465,74280
50,4.37,0.75,0:02.82,32819,215752,113688,108086
40,4.92,1.83,0:03.66,4431,1112604,552489,531152
30,4.83,2.42,0:03.96,4034,1350692,692215,741829
20,5.02,2.34,0:04.03,376,1380279,707052,772775
10,4.94,2.72,0:04.18,103,1382652,709348,776556
5,5.70,2.78,0:04.58,3595,1384780,713951,781080
