RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.85,0.12,0:03.97,0,104759,0,0
90,3.89,0.30,0:04.19,22081,122380,43567,25317
80,3.75,0.58,0:04.34,50381,124489,74180,55459
70,3.75,0.65,0:04.40,64376,117655,76015,71359
60,3.77,0.66,0:04.44,73042,134587,89062,80038
50,3.74,0.87,0:04.63,77351,224377,139068,87585
40,3.97,1.71,0:05.74,133048,709752,416316,264928
30,4.19,2.75,0:07.03,219772,1092310,670624,723696
20,4.33,2.83,0:07.23,232624,1111362,690852,753983
10,4.48,5.67,0:10.41,452849,2176329,1270612,1256763
5,4.72,5.60,0:10.69,461845,2199810,1280866,1630029
