RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,6.14,0.17,0:06.32,0,105103,0,0
90,5.97,0.29,0:06.27,6013,122184,39232,23966
80,5.99,0.34,0:06.34,4762,126709,70274,54079
70,5.94,0.36,0:06.31,4437,112863,70412,68329
60,6.46,0.40,0:06.87,3368,108681,70497,73598
50,6.01,0.39,0:06.41,3559,125987,79455,74281
40,6.28,1.13,0:07.41,26863,463534,352844,223178
30,6.62,1.74,0:08.37,4865,650949,631796,672025
20,6.84,1.67,0:08.52,7218,657806,651748,701431
10,7.33,4.02,0:11.37,141985,1200658,1208371,1371782
5,7.23,3.31,0:10.55,3775,1201955,1209869,1527376
