RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.28,0.77,0:03.08,755,692653,179356,5824
90,2.36,1.59,0:04.14,32857,753714,385507,283008
80,2.24,1.75,0:04.17,32841,753725,442061,283812
70,2.30,1.67,0:04.14,32823,753750,490305,284508
60,2.29,2.82,0:05.22,69061,927365,564473,497930
50,2.35,3.10,0:05.57,79304,969423,565365,550066
40,2.48,2.67,0:05.24,90713,958013,565584,563005
30,2.43,2.61,0:05.15,84134,964593,565582,563017
20,2.32,2.47,0:04.92,76726,972001,565577,563008
10,2.49,2.33,0:04.97,90787,957944,565589,563014
5,2.38,4.47,0:06.86,524289,524441,565583,563025
