RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.96,0.09,0:01.60,0,100476,0,0
90,4.14,0.52,0:01.87,138,146879,50532,44295
80,4.06,0.61,0:01.93,357,163681,65821,54104
70,4.06,0.57,0:01.95,121,166147,70672,62455
60,4.15,0.43,0:01.92,70,168530,70790,68398
50,4.39,0.53,0:02.04,4512,208438,93601,77940
40,5.38,2.65,0:03.12,4028,1091883,542698,295436
30,4.84,5.81,0:04.24,1605,1360969,694459,733328
20,5.04,4.98,0:04.04,1272,1389148,713900,769973
10,4.67,8.02,0:05.21,129787,1477398,746888,874728
5,5.55,3.83,0:04.24,8999,1406589,723032,786987
