RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.83,0.15,0:03.99,0,104760,0,0
90,3.87,0.27,0:04.15,14218,112144,26489,16651
80,3.74,0.77,0:04.52,51453,116201,77764,56964
70,3.71,0.82,0:04.54,67490,113428,76331,74039
60,3.72,0.85,0:04.58,75396,118516,81835,82694
50,3.77,1.05,0:04.83,88753,158216,110292,105690
40,3.89,2.19,0:06.27,126235,565680,345554,319974
30,4.21,3.82,0:08.50,219674,1074547,656145,713634
20,4.25,4.04,0:08.79,228432,1112898,687893,760451
10,4.53,8.10,0:14.05,459169,2149869,1267802,1501068
5,4.53,8.22,0:14.13,454354,2211352,1283070,1630426
