RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,4.58,2.29,0:06.88,0,1445979,0,0
90,4.74,2.37,0:07.12,2145,1449723,195731,4704
80,4.67,2.66,0:07.34,2184,1451368,269187,5212
70,4.67,3.71,0:08.38,21437,1787025,569085,142719
60,4.95,5.74,0:10.71,170377,2235796,1026110,450683
50,5.20,10.84,0:16.17,774065,2441387,1537113,1123153
40,6.53,27.17,0:34.04,2168324,5238090,4383809,4168729
30,7.36,33.85,0:42.03,3057356,5770098,4757293,6751378
20,7.72,36.13,0:44.88,3168264,6782489,4945375,8341240
10,8.03,38.23,0:47.53,3312432,7864522,4996640,9903846
5,7.48,39.96,0:48.79,3434525,8288861,5002434,10500676
