RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.48,0.08,0:03.56,0,100590,0,0
90,3.51,0.56,0:04.08,42743,109381,63815,46420
80,3.44,0.71,0:04.16,50097,113380,71698,54777
70,3.46,0.82,0:04.28,59455,123631,79752,64598
60,3.49,0.77,0:04.27,63016,109042,72780,69961
50,3.54,0.95,0:04.50,73553,168114,108762,86247
40,3.85,3.16,0:07.23,158424,1127825,656378,467168
30,3.64,4.37,0:08.40,257131,1125343,709192,776322
20,3.73,4.30,0:08.42,264624,1117871,709257,778670
10,3.71,4.62,0:08.77,263654,1246442,744200,857884
5,4.05,5.39,0:10.07,317730,1576407,815888,1230132
